Id;Re·ln˝ n·zev senzoru/rodina senzor˘;Alias (type);Notes;Request;Response;Keywords - values;;;Keywords - configs;;
0;TeplotnÌ senzor KY-001;DS11B20;Dallas DS18B20;?type=ds18b20&id=0;?type=ds18b20&id=0&temp=20.5;temp:float;alarm:String;;resolution:int;;
1;TEMP and humidity module DHT11 ;DHT11;Keyes KY-015;?type=dht11&id=1;?type=dht11&id=1&humi=12&temp=20;humi:int;temp:int;;resolution:int;;
2;Hall Magnetic sensor Module;Dhall;Keyes KY-003;?type=Dhall&id=2;?type=Dhall&id=2&state=1;state:bool;;;;;
3;Analog hall Module ;Ahall;Keyes KY-035;?type=Ahall&id=3;?type=Ahall&id=3&polarity=South;val:int ;polarity:string;;;;
4;Photo interrupter module;PInterrupt;Keyes  KY-010;?type=PInterrupt&id=4;?type=PInterrupt&id=4&state=0;state:bool;;;;;
5; 3os˝ akcelerometr a gyroskop GY-521;GY521;MPU-6050;?type=GY521&id=5;?type=GY521&id=5&;;;;;;
6;InfraËerven˝ senzor p¯ek·ûek;FC51;;?type=FC51&id=6;?type=FC51&id=6&state=1;state:bool;;;;;
7;Ultrazvukov˝ mÏ¯iË vzd·lenosti HC-SR04;HCSR04;HC-SR04;?type=HCSR04&id=7;?type=HCSR04&id=7&distance=25.1;distance:int;;;;;
8;PIR PohybovÈ Ëidlo  HC - SR501;HCSR501;BISS0001, 7133-1;?type=HCSR501&id=8;?type=HCSR501&id=8&;state:bool;;;;;
9;MikrospÌnaË KW11-3Z;KW113Z;;?type=KW113Z&id=9;?type=KW113Z&id=9&state=1;state:bool;;;;;
10;GY-BMP280 I2C senzor tlaku a teploty;BPM280;;?type=BPM280&id=10;?type=BPM280&id=10&temp=15.1&press=3.1;temp:float;press:float;;;;
11;BMP-180 senzor tlaku;BMP180;;?type=UPDATE&id=11;?type=BPM180&id=11&press=15.1&altitude=3.1;press: float;altitude:float;;;;
12;TCS34725 (Color Sensor with IR Filter);TCS34725;;?type=TCS34725&id=11;?type=TCS34725&id=11&;press: float;altitude:float;;;;
13;Laserov˝ senzor vzd·lenosti GY-VL53L0X I2C;VL53L0X;;?type=VL53L0X&id=12;?type=VL53L0X&id=12&distance=33.1;R:int;G:int;;;;
14;Infrared Receiver KY-022;InfraredR;KY-022 a KY-005 MusÌ pracovat pospolu aby prok·zali svojÌ ˙Ëinnost;?type=InfraredR&id=13;?type=InfraredR&id=13&;distance:float;;;;;
15;Infrared Emission KY-005;InfraredE;;?type=InfraredE&id=14;?type=InfraredE&id=14&;;;;;;
16;Digital temperature module ;Dntc;Keyes KY-028;?type=Dntc&id=15;?type=Dntc&id=15&state=1;;;;;;
17;Analog temp module;Antc;Keyes  KY-013;?type=Antc&id=16;?type=Antc&id=16&temp=22.2;state:bool;;;;;
18;Photo-resistor module ;PIresistance;Keyes KY-018;?type=PIresistance&id=17;?type=PIresistance&id=17&intensity=250;temp:float;;;;;
19;Joystick module ;Joystick;Keyes KY-023;?type=Joystick&id=18;?type=Joystick&id=18&direction=LEFT;intensity:int;;;;;
20;Linear hall module;HallLin;Keyes  KY-024;?type=HallLin&id=19;?type=HallLin&id=19&voltage=2.1;direction:string;;;;;
21;MQ135 ;MQ135;;?type=MQ135&id=20;?type=MQ135&id=20&state=1;voltage:float;;;;;
22;LJ12A3-4-Z/AY;IndPNP;;?type=IndPNP&id=21;?type=IndPNP&id=21&state=1;state:bool;;;;;
23;TL-W5MC1;IndNPN;;?type=IndNPN&id=22;?type=IndNPN&id=22&state=1;state:bool;;;;;
24;P˘dnÌ vlhkomÏr;DMoisture;;?type=DMoisture&id=23;?type=DMoisture&id=23&state=0;state:bool;;;;;
25;P˘dnÌ vlhkomÏr sonda;AMoisture;;?type=AMoisture&id=24;?type=AMoisture&id=24&moist=15;state:bool;;;;;
26;TTP223;TTP223;;?type=TTP223&id=25;?type=TTP223&id=25&state=1;moist:int;;;;;
27;AJ-SR04M;AJSR04M;;?type=AJSR04M&id=26;?type=AJSR04M&id=26&distance=63.1;state:bool;;;;;
28;GP2Y0A21YK0F;GP2Y0A21YK0F;;?type=GP2Y0A21YK0F&id=27;?type=GP2Y0A21YK0F&id=27&distance=63.2;distance:float;;;;;
29;RCWL-0516;RCWL0516;;?type=RCWL0516&id=28;?type=RCWL0516&id=28&state=1;distance:float;;;;;
30;Enkoder;Encoder;Keyes KY-040;?type=Encoder&id=29;?type=Encoder&id=29&direction=LEFT;state:bool;;;;;
31;IR senzor p¯ek·ûky  ;HS0038DB;Keyes KY-032 ;?type=HS0038DB&id=30;?type=HS0038DB&id=30&state=1;position:int;alarm:String;;;;
32;ReflexnÌ svÏteln· z·vora TCRT5000;TCRT5000;Keyes KY-033;?type=TCRT5000&id=31;?type=TCRT5000&id=31&state=1;state:bool;;;;;
33;Detektor plamene ;IRflame;Keyes KY-026;?type=IRflame&id=32;?type=IRflame&id=32&state=1;state:bool;;;;;
34;REED ;REED;Keyes KY-025;?type=REED&id=33;?type=REED&id=33&state=1;state:bool;;;;;
35;Mal˝ mikrofon;MicSmall;Keyes  KY-038;?type=MicSmall&id=34;?type=MicSmall&id=34&volume=42.3;state:bool;;;;;
